test_prop,test_age,test_gender,test_race,source_n,source_prop,fairface_n,fairface_prop,fairface_p_value,fairface_power,deepface_n,deepface_prop,deepface_p_value,deepface_power
genders,20-29,Female,Indian,1563,0.574536148432502,846,0.726950354609929,1.4889818786501e-13,0.99999749949943,492,0.402439024390244,2.50472587208356e-11,0.999902599989663
races,20-29,Female,Indian,4484,0.200267618198037,5647,0.108907384451921,1.35977033242343e-37,1,4073,0.0486128161060643,1.35776326578263e-97,1
age_bins,20-29,Female,Other,942,0.422505307855626,2173,0.570639668660838,2.8514574468863e-14,0.999998381875133,1666,0.484393757503001,0.00232589786627128,0.533414082989599
genders,20-29,Female,Other,683,0.582723279648609,1864,0.665236051502146,0.000117821733538911,0.801294785715408,1725,0.467826086956522,3.71608716083419e-07,0.983541880152866
races,20-29,Female,Other,4484,0.0887600356824264,5647,0.219585620683549,1.31190532222588e-70,1,4073,0.198134053523202,8.20123788789323e-48,1
age_bins,20-29,Female,All,11521,0.389202326186963,11558,0.488579338985984,2.99646836293027e-52,1,9220,0.44175704989154,2.17575733213449e-14,0.999998480049931
genders,20-29,Female,All,7806,0.574429925698181,8384,0.673544847328244,9.18065298176544e-39,1,9590,0.424713242961418,6.35637481080161e-86,1
age_bins,20-29,Male,White,5547,0.186587344510546,4746,0.166666666666667,0.00835788426945238,0.372593295974895,5101,0.298764948049402,9.90084401672779e-42,1
genders,20-29,Male,White,2155,0.480278422273782,2280,0.346929824561404,1.90516391088289e-19,0.999999999380564,2993,0.509188105579686,0.0406948460513084,0.178591253453081
races,20-29,Male,White,3322,0.311559301625527,2737,0.289002557544757,0.0568687197360571,0.144310806843554,5517,0.276237085372485,0.000390555503256246,0.713769371229895
age_bins,20-29,Male,Asian,1644,0.255474452554745,1594,0.227728983688833,0.0652710368253857,0.13069666218663,3546,0.480823463056966,3.07963930345249e-53,1
genders,20-29,Male,Asian,1455,0.288659793814433,1528,0.237565445026178,0.00152281293366159,0.580616394275698,2923,0.583304823811153,2.09041357241282e-75,1
races,20-29,Male,Asian,3322,0.126429861529199,2737,0.13262696382901,0.474215222162668,0.0122526071010711,5517,0.309044770708718,2.44840480717115e-84,1
age_bins,20-29,Male,Black,2337,0.392383397518186,2130,0.341784037558685,0.00046185565313126,0.704896343747004,2702,0.398223538119911,0.672431290107323,0.00581443508620526
genders,20-29,Male,Black,1950,0.47025641025641,1866,0.390139335476956,5.8646573841148e-07,0.979070855096137,1457,0.73850377487989,1.07971738771076e-55,1
races,20-29,Male,Black,3322,0.276038531005418,2737,0.265984654731458,0.381174768530739,0.0183031151949866,5517,0.195033532717056,1.07922578916454e-18,0.999999995639669
age_bins,20-29,Male,Indian,2285,0.291028446389497,1383,0.167028199566161,2.43046580569153e-17,0.999999995960633,956,0.307531380753138,0.347908332232888,0.0211204864512139
genders,20-29,Male,Indian,1563,0.425463851567498,846,0.273049645390071,1.48898187865007e-13,0.99999749949943,492,0.597560975609756,2.50472587208356e-11,0.999902599989663
races,20-29,Male,Indian,3322,0.200180614087899,2737,0.0843989769820972,1.35541387596331e-36,1,5517,0.0532898314301251,1.34580140591186e-102,1
age_bins,20-29,Male,Other,768,0.37109375,2680,0.232835820895522,1.7647979883903e-14,0.999995378440539,2528,0.363132911392405,0.688175469608162,0.00550850416585522
genders,20-29,Male,Other,683,0.417276720351391,1864,0.334763948497854,0.000117821733538911,0.801294785715408,1725,0.532173913043478,3.71608716083419e-07,0.983541880152866
races,20-29,Male,Other,3322,0.0857916917519567,2737,0.227986846912678,1.10438349746255e-53,1,5517,0.166394779771615,9.76674568489261e-27,1
age_bins,20-29,Male,All,12581,0.264048962721564,12533,0.218383467645416,2.73889407661537e-17,0.999999980840809,14833,0.37194094249309,7.2256321378216e-81,1
genders,20-29,Male,All,7806,0.425570074301819,8384,0.326455152671756,9.18065298176544e-39,1,9590,0.575286757038582,6.35637481080161e-86,1
age_bins,20-29,All,White,10221,0.210840426572742,9285,0.245557350565428,7.57875919484917e-09,0.997492845844722,9037,0.331193980303198,3.98216462511103e-79,1
races,20-29,All,White,7806,0.276069689982065,8384,0.271946564885496,0.556664605407902,0.0088454111306594,9590,0.312095933263816,2.24946636489752e-07,0.98683548766196
age_bins,20-29,All,Asian,3586,0.40574456218628,3489,0.437947836056177,0.00609994819041356,0.410970285062771,5794,0.504487400759406,1.21735072596541e-20,0.999999999911588
races,20-29,All,Asian,7806,0.186395080707148,8384,0.182251908396947,0.496842759685331,0.0111906546298425,9590,0.304796663190824,1.23025633546946e-71,1
age_bins,20-29,All,Black,4558,0.427819218955682,3981,0.468726450640543,0.000148886091509657,0.79536402580265,3558,0.409499718943227,0.0970557841096403,0.0954867636115583
races,20-29,All,Black,7806,0.249807840122982,8384,0.22256679389313,4.49126045905572e-05,0.866823995710478,9590,0.151929092805005,7.06971839131902e-59,1
age_bins,20-29,All,Indian,4027,0.388130121678669,2483,0.340716874748288,0.000118780596989119,0.814662981638577,1470,0.33469387755102,0.000289625498545823,0.753255456984921
races,20-29,All,Indian,7806,0.200230591852421,8384,0.100906488549618,1.9071412987891e-70,1,9590,0.051303441084463,2.98833708893201e-201,1
age_bins,20-29,All,Other,1710,0.399415204678363,4853,0.384092314032557,0.263520841759763,0.0320728239760021,4194,0.411301859799714,0.399224560544335,0.0169086381393493
races,20-29,All,Other,7806,0.087496797335383,8384,0.222328244274809,1.43725077343178e-122,1,9590,0.179874869655892,6.20752216295301e-69,1
age_bins,20-29,All,All,24102,0.32387353746577,24091,0.348013781080071,2.02236731959348e-08,0.995893185242499,24053,0.398702864507546,1.70232691394835e-65,1
age_bins,30-39,Female,White,4674,0.157252888318357,4539,0.136593963428068,0.00512569024041562,0.434105204839433,3936,0.427845528455285,1.95670609644262e-170,1
genders,30-39,Female,White,1746,0.420962199312715,1512,0.41005291005291,0.528656219446668,0.00986493404615216,3635,0.463273727647868,0.00348740246777306,0.483686192726513
races,30-39,Female,White,1865,0.394101876675603,1467,0.422631220177232,0.0960569672555139,0.0960694733760975,4022,0.418697165589259,0.0743522167987937,0.11899137962647
age_bins,30-39,Female,Asian,1942,0.0937178166838311,1895,0.0670184696569921,0.00237632201897893,0.533401740285926,2248,0.365213523131673,9.92020058496911e-94,1
genders,30-39,Female,Asian,440,0.413636363636364,345,0.368115942028986,0.195089334206839,0.0474783024225046,1858,0.441872981700754,0.282881145819198,0.0293303111898935
races,30-39,Female,Asian,1865,0.0975871313672922,1467,0.0865712338104976,0.276484899992725,0.0303836350483772,4022,0.20412729985082,4.72141582985513e-24,0.999999999999997
age_bins,30-39,Female,Black,2221,0.277352543899145,1851,0.176121015667207,2.38785540295634e-14,0.999999020653258,856,0.536214953271028,1.64921524779599e-41,1
genders,30-39,Female,Black,1213,0.507831821929101,955,0.341361256544503,8.29563953165032e-15,0.999999405138956,1681,0.273051754907793,4.65183467450327e-38,1
races,30-39,Female,Black,1865,0.33029490616622,1467,0.222222222222222,6.11296267051467e-12,0.99996668866617,4022,0.114122327200398,9.4795386498338e-89,1
age_bins,30-39,Female,Indian,1742,0.126865671641791,1100,0.119090909090909,0.539980758642164,0.00948274929427186,514,0.585603112840467,3.85038366157495e-104,1
genders,30-39,Female,Indian,689,0.320754716981132,551,0.237749546279492,0.00127635555736356,0.609362684866532,794,0.379093198992443,0.0189704401536993,0.268766062257625
races,30-39,Female,Indian,1865,0.118498659517426,1467,0.0892978868438991,0.00648466425363519,0.413303760113676,4022,0.0748383888612631,4.19502571193412e-08,0.990319868536512
age_bins,30-39,Female,Other,942,0.117834394904459,2173,0.121030832949839,0.800969393218352,0.00395317374500048,1666,0.45438175270108,1.01230840727082e-68,1
genders,30-39,Female,Other,257,0.431906614785992,884,0.297511312217195,5.34411159898482e-05,0.838449889056323,1767,0.42840973401245,0.915712721098715,0.00316296907584591
races,30-39,Female,Other,1865,0.0595174262734584,1467,0.179277436946149,1.57828941355512e-27,0.999999999999999,4022,0.18821481849826,2.14114423788044e-38,1
age_bins,30-39,Female,All,11521,0.161878309174551,11558,0.126925073542135,4.21962070203906e-14,0.999997871691211,9220,0.436225596529284,0,1
genders,30-39,Female,All,4345,0.429228998849252,4247,0.345420296680009,1.57066372838308e-15,0.999999737288375,9735,0.413148433487417,0.0739558040852295,0.118488837962217
age_bins,30-39,Male,White,5547,0.182260681449432,4746,0.187947745469869,0.458762264146664,0.0130721432848246,5101,0.382474024701039,2.20311047067751e-117,1
genders,30-39,Male,White,1746,0.579037800687285,1512,0.58994708994709,0.528656219446668,0.00986493404615216,3635,0.536726272352132,0.00348740246777306,0.483686192726513
races,30-39,Male,White,2480,0.407661290322581,2780,0.320863309352518,6.16557482349553e-11,0.999823794379394,5713,0.341501837913531,1.02546227972988e-08,0.996753639100147
age_bins,30-39,Male,Asian,1644,0.156934306569343,1594,0.136762860727729,0.105119975288869,0.0892135667819566,3546,0.292442188381275,9.1137169362935e-26,1
genders,30-39,Male,Asian,440,0.586363636363636,345,0.631884057971015,0.195089334206839,0.0474783024225052,1858,0.558127018299246,0.282881145819198,0.0293303111898929
races,30-39,Male,Asian,2480,0.104032258064516,2780,0.0784172661870504,0.00122719368572412,0.602807672684774,5713,0.181515841064239,1.02194305673686e-18,0.999999999871645
age_bins,30-39,Male,Black,2337,0.255455712451861,2130,0.295305164319249,0.00287291022588188,0.504753279803069,2702,0.452257586972613,1.12013108861857e-47,1
genders,30-39,Male,Black,1213,0.492168178070899,955,0.658638743455497,8.29563953165017e-15,0.999999405138956,1681,0.726948245092207,4.65183467450327e-38,1
races,30-39,Male,Black,2480,0.240725806451613,2780,0.226258992805755,0.21541997661003,0.0418666858593815,5713,0.213898127078593,0.00726696180826023,0.380291570896825
age_bins,30-39,Male,Indian,2285,0.204814004376368,1383,0.303687635574837,1.24256544173573e-11,0.999902574221875,956,0.515690376569038,6.96867833787696e-70,1
genders,30-39,Male,Indian,689,0.679245283018868,551,0.762250453720508,0.00127635555736356,0.609362684866532,794,0.620906801007557,0.0189704401536993,0.268766062257626
races,30-39,Male,Indian,2480,0.188709677419355,2780,0.151079136690647,0.000275906266275341,0.747004796552199,5713,0.0862944162436548,5.44466955392666e-40,1
age_bins,30-39,Male,Other,768,0.190104166666667,2680,0.231716417910448,0.0145015246790943,0.318152144674839,2528,0.399525316455696,1.72179621150321e-26,1
genders,30-39,Male,Other,257,0.568093385214008,884,0.702488687782805,5.34411159898482e-05,0.838449889056323,1767,0.571590265987549,0.915712721098715,0.00316296907584592
races,30-39,Male,Other,2480,0.0588709677419355,2780,0.223381294964029,6.76212806120797e-64,1,5713,0.176789777699982,4.62602281937809e-45,1
age_bins,30-39,Male,All,12581,0.197122645258723,12533,0.221814409957712,1.52331028780557e-06,0.96726860489038,14833,0.385154722578035,9.12741162688862e-252,1
genders,30-39,Male,All,4345,0.570771001150748,4247,0.654579703319991,1.57066372838308e-15,0.999999737288375,9735,0.586851566512583,0.0739558040852295,0.118488837962217
age_bins,30-39,All,White,10221,0.17082477252715,9285,0.162843295638126,0.135554448542019,0.0701904776349238,9037,0.402235255062521,2.19682651696918e-279,1
races,30-39,All,White,4345,0.401841196777906,4247,0.356016011302096,1.2027507370043e-05,0.921006312689213,9735,0.373394966615306,0.00133358329878656,0.592103606468539
age_bins,30-39,All,Asian,3586,0.122699386503067,3489,0.0988822012037833,0.00142785408662608,0.590020435812916,5794,0.320676561960649,4.39261725845622e-104,1
races,30-39,All,Asian,4345,0.10126582278481,4247,0.0812338121026607,0.00127281850668294,0.602845096701531,9735,0.190857729840781,2.72988048929729e-40,1
age_bins,30-39,All,Black,4558,0.26612549363756,3981,0.23988947500628,0.00545666028901054,0.426640681076397,3558,0.472456436200112,1.26615951863938e-82,1
races,30-39,All,Black,4345,0.279171461449942,4247,0.224864610313162,6.85827631519726e-09,0.997719404616111,9735,0.172675911658963,2.70673618016306e-47,1
age_bins,30-39,All,Indian,4027,0.171095108020859,2483,0.221908981071285,3.9470711267121e-07,0.979989779140937,1470,0.540136054421769,6.35056961566142e-164,1
races,30-39,All,Indian,4345,0.158573072497123,4247,0.129738639039322,0.000143183708178586,0.799838460992345,9735,0.0815613764766307,5.06174443883591e-43,1
age_bins,30-39,All,Other,1710,0.150292397660819,4853,0.182155367813723,0.00279311545987819,0.531443299155209,4194,0.421316165951359,4.00057330447398e-88,1
races,30-39,All,Other,4345,0.0591484464902186,4247,0.20814692724276,4.86777068887925e-92,1,9735,0.18151001540832,1.8498905967142e-81,1
age_bins,30-39,All,All,24102,0.180275495809476,24091,0.176289900792827,0.253046609498218,0.034039858051147,24053,0.404731218559016,0,1
age_bins,40-49,Female,White,4674,0.076379974326059,4539,0.105309539546156,1.32721562520677e-06,0.969769725434386,3936,0.15599593495935,2.7536910142878e-31,1
genders,40-49,Female,White,1040,0.343269230769231,1102,0.433756805807622,1.77343847928592e-05,0.9088511366675,1898,0.32349841938883,0.275959844377023,0.0300403498546857
races,40-49,Female,White,644,0.554347826086957,718,0.665738161559889,2.50907291458578e-05,0.894511808886564,782,0.785166240409207,1.32786436416123e-20,0.999999999917579
age_bins,40-49,Female,Asian,1942,0.0133882595262616,1895,0.0137203166226913,0.929128593677472,0.00311498367373309,2248,0.0387010676156584,4.56302347921478e-07,0.9900755962577
genders,40-49,Female,Asian,122,0.213114754098361,129,0.201550387596899,0.821243172740652,0.00375729220573023,577,0.150779896013865,0.0892779280433167,0.0899811827101911
races,40-49,Female,Asian,644,0.0403726708074534,718,0.0362116991643454,0.689094673913177,0.00549261936492517,782,0.111253196930946,8.16841883052232e-07,0.986442309858789
age_bins,40-49,Female,Black,2221,0.0679873930661864,1851,0.037817396002161,2.32345268247955e-05,0.912854503483078,856,0.0175233644859813,2.81754637937396e-08,0.999804531105814
genders,40-49,Female,Black,376,0.401595744680851,344,0.203488372093023,8.56394473901335e-09,0.998046086266982,362,0.0414364640883978,1.07587894993609e-31,1
races,40-49,Female,Black,644,0.234472049689441,718,0.0974930362116992,7.61789323210212e-12,0.999962129860538,782,0.0191815856777494,1.74281415510436e-36,1
age_bins,40-49,Female,Indian,1742,0.0470723306544202,1100,0.0554545454545455,0.319403426751863,0.0238900182309658,514,0.0291828793774319,0.078925910346926,0.136998771184331
genders,40-49,Female,Indian,459,0.178649237472767,371,0.164420485175202,0.589403633622885,0.00783760621964167,172,0.0872093023255814,0.00457212846315757,0.535174128092055
races,40-49,Female,Indian,644,0.127329192546584,718,0.084958217270195,0.0108720365692748,0.336820032706594,782,0.0191815856777494,6.92246096788796e-16,0.999999983421636
age_bins,40-49,Female,Other,942,0.029723991507431,2173,0.0381960423377819,0.241377110380027,0.0386794301240315,1666,0.0306122448979592,0.898833427500848,0.00323685770436968
genders,40-49,Female,Other,106,0.264150943396226,520,0.159615384615385,0.0102207454616343,0.290965883108494,520,0.0980769230769231,2.69430898679739e-06,0.881922084534836
races,40-49,Female,Other,644,0.0434782608695652,718,0.115598885793872,1.19211624396913e-06,0.98103624542388,782,0.0652173913043478,0.0741196061841079,0.12367475576788
age_bins,40-49,Female,All,11521,0.055897925527298,11558,0.0621214743035127,0.0448495330921926,0.168295578146816,9220,0.0848156182212581,2.87028490958973e-16,0.99999988023227
genders,40-49,Female,All,2103,0.306229196386115,2466,0.291159772911598,0.267040464283026,0.0315793080998299,3529,0.221592519127232,1.60074391842958e-12,0.999971287500577
age_bins,40-49,Male,White,5547,0.123129619614206,4746,0.131479140328698,0.204709092185633,0.0445096800876554,5101,0.251715349931386,2.07907735285922e-65,1
genders,40-49,Male,White,1040,0.656730769230769,1102,0.566243194192377,1.77343847928592e-05,0.9088511366675,1898,0.67650158061117,0.275959844377023,0.0300403498546849
races,40-49,Male,White,1459,0.468128855380398,1748,0.356979405034325,1.78453904379174e-10,0.999680063764849,2747,0.467419002548234,0.964970722564412,0.00302795584210042
age_bins,40-49,Male,Asian,1644,0.0583941605839416,1594,0.0646173149309912,0.461034952667742,0.012958367125956,3546,0.138183869148336,2.92389532544402e-17,0.999999999722059
genders,40-49,Male,Asian,122,0.786885245901639,129,0.798449612403101,0.821243172740652,0.00375729220573023,577,0.849220103986135,0.0892779280433167,0.0899811827101909
races,40-49,Male,Asian,1459,0.065798492117889,1748,0.0589244851258581,0.421678876123299,0.0152450115043657,2747,0.178376410629778,1.06351209859553e-23,0.999999999999999
age_bins,40-49,Male,Black,2337,0.0962772785622593,2130,0.128638497652582,0.000604956731600496,0.67722574712141,2702,0.128423390081421,0.00033413076609541,0.740339993836797
genders,40-49,Male,Black,376,0.598404255319149,344,0.796511627906977,8.56394473901335e-09,0.998046086266982,362,0.958563535911602,1.07587894993609e-31,1
races,40-49,Male,Black,1459,0.154215215901302,1748,0.15675057208238,0.843633608789525,0.00357441209540848,2747,0.126319621405169,0.0120015405896425,0.313760208847346
age_bins,40-49,Male,Indian,2285,0.164989059080963,1383,0.224150397686189,8.55125680696444e-06,0.923688561369204,956,0.164225941422594,0.957408595289151,0.0030413929251233
genders,40-49,Male,Indian,459,0.821350762527233,371,0.835579514824798,0.589403633622885,0.00783760621964176,172,0.912790697674419,0.00457212846315757,0.535174128092053
races,40-49,Male,Indian,1459,0.258396161754626,1748,0.177345537757437,2.53423010352509e-08,0.995212896052729,2747,0.0571532580997452,1.06550428052923e-77,1
age_bins,40-49,Male,Other,768,0.1015625,2680,0.163059701492537,2.49458664345082e-05,0.93253946732532,2528,0.185522151898734,4.3230140069218e-08,0.998152829424845
genders,40-49,Male,Other,106,0.735849056603774,520,0.840384615384615,0.0102207454616343,0.290965883108495,520,0.901923076923077,2.6943089867974e-06,0.881922084534836
races,40-49,Male,Other,1459,0.0534612748457848,1748,0.25,1.72700295009424e-51,1,2747,0.170731707317073,5.1856983382145e-27,1
age_bins,40-49,Male,All,12581,0.115968523964709,12533,0.139471794462619,2.40585896775783e-08,0.995568185890766,14833,0.185195172925234,1.44820283618182e-56,1
genders,40-49,Male,All,2103,0.693770803613885,2466,0.708840227088402,0.267040464283026,0.0315793080998293,3529,0.778407480872768,1.60074391842958e-12,0.999971287500577
age_bins,40-49,All,White,10221,0.101751296350651,9285,0.11868605277329,0.000158070039502773,0.790106605984863,9037,0.210025450923979,1.3825788119347e-96,1
races,40-49,All,White,2103,0.494531621493105,2466,0.446877534468775,0.00129434209423509,0.598702274564047,3529,0.537829413431567,0.00165277752167405,0.570784233226137
age_bins,40-49,All,Asian,3586,0.034021193530396,3489,0.0369733447979364,0.502143196027705,0.0109560601326947,5794,0.0995857783914394,7.05331988673567e-32,1
races,40-49,All,Asian,2103,0.0580123632905373,2466,0.0523114355231144,0.399264772257017,0.0168145210712678,3529,0.163502408614338,3.48513888542702e-31,1
age_bins,40-49,All,Black,4558,0.0824923211935059,3981,0.0864104496357699,0.515682347603802,0.0103695772491479,3558,0.101742551995503,0.00276294234479614,0.504656523578795
races,40-49,All,Black,2103,0.178792201616738,2466,0.139497161394972,0.00027961042147916,0.744589485512081,3529,0.102578634173987,2.42850969168337e-16,0.999999788617375
age_bins,40-49,All,Indian,4027,0.113980630742488,2483,0.149416028997181,3.12942868014951e-05,0.87444710435728,1470,0.117006802721088,0.755394823488908,0.00446357200512295
races,40-49,All,Indian,2103,0.218259629101284,2466,0.150446066504461,3.11309006649446e-09,0.998394616314097,3529,0.0487390195522811,9.03680267581218e-85,1
age_bins,40-49,All,Other,1710,0.0619883040935673,4853,0.107150216361014,4.57489929824687e-08,0.997843305663482,4194,0.123986647591798,2.24279229535474e-12,0.999997621272347
races,40-49,All,Other,2103,0.0504041844983357,2466,0.210867802108678,1.07202232837554e-55,1,3529,0.147350524227827,4.24985636548299e-29,1
age_bins,40-49,All,All,24102,0.0872541697784416,24091,0.102361877879706,1.50744632432782e-08,0.996503412858615,24053,0.146717665156114,1.23433078036342e-91,1
age_bins,50-59,Female,White,4674,0.099058622165169,4539,0.101123595505618,0.741252613470182,0.0046622589235045,3936,0.0208333333333333,6.97904483201427e-50,1
genders,50-59,Female,White,1370,0.337956204379562,1318,0.348254931714719,0.573922850720173,0.00828342770045612,340,0.241176470588235,0.000608395707901762,0.713986658684428
races,50-59,Female,White,673,0.687964338781575,603,0.761194029850746,0.00353604501332977,0.484624408451119,107,0.766355140186916,0.100663285569654,0.101545807120934
age_bins,50-59,Female,Asian,1942,0.0113285272914521,1895,0.00949868073878628,0.57688360207743,0.00820952407058348,2248,0.00667259786476868,0.10818552830027,0.0864732229070036
genders,50-59,Female,Asian,112,0.196428571428571,110,0.163636363636364,0.525034383163267,0.0100244808421621,145,0.103448275862069,0.0352549541130077,0.191145163896156
races,50-59,Female,Asian,673,0.0326894502228826,603,0.0298507462686567,0.77142031419068,0.00427614302906225,107,0.14018691588785,1.17961603709685e-06,0.819477846207854
age_bins,50-59,Female,Black,2221,0.0472760018009905,1851,0.0194489465153971,1.32468621993714e-06,0.980748249855115,856,0.00116822429906542,3.29704588814594e-10,0.999999999765419
genders,50-59,Female,Black,290,0.362068965517241,222,0.162162162162162,5.21780522605267e-07,0.986699165294267,57,0.0175438596491228,2.43665319407337e-07,0.999980307342602
races,50-59,Female,Black,673,0.156017830609212,603,0.0597014925373134,4.28264210149377e-08,0.996648210277901,107,0.00934579439252336,3.91313140802738e-05,0.998533849081551
age_bins,50-59,Female,Indian,1742,0.0430539609644087,1100,0.0336363636363636,0.208809227517844,0.0453409609042092,514,0,1.71476760812864e-06,0.999999958443479
genders,50-59,Female,Indian,404,0.185643564356436,209,0.177033492822967,0.793706366831568,0.00402945381662548,11,0,0.114387140278126,0.479112323305953
races,50-59,Female,Indian,673,0.111441307578009,603,0.0613598673300166,0.00159766275500512,0.596382090167232,107,0,0.000281033613563977,0.999823505218539
age_bins,50-59,Female,Other,942,0.00849256900212314,2173,0.024390243902439,0.00326986539670122,0.633313294569873,1666,0.00540216086434574,0.346166529537907,0.0202676395416433
genders,50-59,Female,Other,49,0.163265306122449,383,0.138381201044386,0.637649604402148,0.00635802102812775,92,0.0978260869565217,0.255818651868889,0.0313762554729336
races,50-59,Female,Other,673,0.011887072808321,603,0.087893864013267,2.10914553597043e-10,0.999945897304482,107,0.0841121495327103,2.00635448860328e-06,0.721549177461797
age_bins,50-59,Female,All,11521,0.0584150681364465,11558,0.052171655995847,0.0379797309753989,0.186208888265462,9220,0.0116052060737527,2.11693461621369e-69,1
genders,50-59,Female,All,2225,0.30247191011236,2242,0.268956289027654,0.0131597889084777,0.312939757573463,645,0.165891472868217,6.63932076305388e-12,0.999992020580284
age_bins,50-59,Male,White,5547,0.163511808184604,4746,0.180994521702486,0.0190170379370425,0.265810934720135,5101,0.0505783179768673,1.26394787115646e-77,1
genders,50-59,Male,White,1370,0.662043795620438,1318,0.651745068285281,0.573922850720173,0.00828342770045612,340,0.758823529411765,0.000608395707901763,0.713986658684427
races,50-59,Male,White,1552,0.584407216494845,1639,0.524100061012813,0.000614724038430024,0.677273912489918,538,0.479553903345725,2.44871345221362e-05,0.892565703469855
age_bins,50-59,Male,Asian,1644,0.0547445255474453,1594,0.0577164366373902,0.713561735938219,0.00507852127523257,3546,0.0366610265087422,0.0026285897312383,0.479399399675043
genders,50-59,Male,Asian,112,0.803571428571429,110,0.836363636363636,0.525034383163267,0.0100244808421621,145,0.896551724137931,0.0352549541130077,0.191145163896155
races,50-59,Male,Asian,1552,0.0579896907216495,1639,0.0561317876754118,0.82105300157435,0.00375900877096782,538,0.241635687732342,5.70245101376571e-33,0.999999999999998
age_bins,50-59,Male,Black,2337,0.0791613179289688,2130,0.0873239436619718,0.323449964151343,0.0238292793992939,2702,0.0207253886010363,3.20979987611442e-22,0.99999999999869
genders,50-59,Male,Black,290,0.637931034482759,222,0.837837837837838,5.21780522605267e-07,0.986699165294267,57,0.982456140350877,2.43665319407338e-07,0.999980307342602
races,50-59,Male,Black,1552,0.119201030927835,1639,0.113483831604637,0.614554847715116,0.00712375599296581,538,0.104089219330855,0.344305728743597,0.0223583364420486
age_bins,50-59,Male,Indian,2285,0.14398249452954,1383,0.124367317425886,0.0936292382669344,0.100715024428823,956,0.0115062761506276,3.11929839806747e-29,1
genders,50-59,Male,Indian,404,0.814356435643564,209,0.822966507177033,0.793706366831568,0.00402945381662546,11,1,0.114387140278126,0.479112323305953
races,50-59,Male,Indian,1552,0.211984536082474,1639,0.104942037827944,9.79029951137709e-17,0.999999970452002,538,0.0204460966542751,3.28764731384284e-25,1
age_bins,50-59,Male,Other,768,0.0533854166666667,2680,0.123134328358209,3.81002054865504e-08,0.999207885764439,2528,0.0328322784810127,0.00875226887889348,0.310553999921515
genders,50-59,Male,Other,49,0.836734693877551,383,0.861618798955614,0.637649604402148,0.00635802102812772,92,0.902173913043478,0.255818651868889,0.0313762554729336
races,50-59,Male,Other,1552,0.0264175257731959,1639,0.201342281879195,1.45236465033442e-53,1,538,0.154275092936803,2.83884060140986e-27,0.999999999984533
age_bins,50-59,Male,All,12581,0.123360623161911,12533,0.13077475464773,0.0777378912336585,0.114365185509006,14833,0.0362704779882694,1.87686287118852e-161,1
genders,50-59,Male,All,2225,0.69752808988764,2242,0.731043710972346,0.0131597889084777,0.31293975757346,645,0.834108527131783,6.63932076305388e-12,0.999992020580284
age_bins,50-59,All,White,10221,0.134037765384992,9285,0.141949380721594,0.109381994873129,0.0857312806380939,9037,0.0376231050127255,7.4387617007168e-122,1
races,50-59,All,White,2225,0.615730337078652,2242,0.587867975022301,0.0571736735433923,0.143342565787674,645,0.527131782945736,5.40819528644215e-05,0.851167170240209
age_bins,50-59,All,Asian,3586,0.0312325711098717,3489,0.0315276583548295,0.943255222625068,0.00307354648482513,5794,0.025025888850535,0.0735421389433239,0.11538972889515
races,50-59,All,Asian,2225,0.0503370786516854,2242,0.0490633363068689,0.844715760726283,0.00356588248605112,645,0.224806201550388,1.67278227224111e-42,1
age_bins,50-59,All,Black,4558,0.063624396665204,3981,0.0557648831951771,0.126995624773359,0.0752618862387511,3558,0.0160202360876897,7.09044721120173e-26,1
races,50-59,All,Black,2225,0.130337078651685,2242,0.0990187332738626,0.00101856499764665,0.627049380267627,645,0.0883720930232558,0.00399711556680371,0.520853943270024
age_bins,50-59,All,Indian,4027,0.10032282095853,2483,0.0841723721304873,0.030216005090855,0.218155609513245,1470,0.00748299319727891,9.0986010597125e-31,1
races,50-59,All,Indian,2225,0.181573033707865,2242,0.0932203389830508,9.42687381468614e-18,0.999999994526607,645,0.0170542635658915,1.31194124922978e-25,1
age_bins,50-59,All,Other,1710,0.0286549707602339,4853,0.0789202555120544,5.67779648977462e-13,0.999999893117023,4194,0.0219360991893181,0.125096956023544,0.0703609531404875
races,50-59,All,Other,2225,0.0220224719101124,2242,0.170829616413916,1.60496244009752e-63,1,645,0.142635658914729,9.7568765280545e-36,0.999999999999993
age_bins,50-59,All,All,24102,0.0923159903742428,24091,0.0930637997592462,0.777140589169024,0.00420528600467212,24053,0.0268157818151582,2.04163460845224e-202,1
age_bins,60-69,Female,White,4674,0.0654685494223363,4539,0.0295219211280018,6.02679339355795e-16,0.999999939736969,3936,0.000508130081300813,8.48444053674558e-59,1
genders,60-69,Female,White,772,0.396373056994819,632,0.212025316455696,1.27844019932193e-13,0.999997698126476,23,0.0869565217391304,0.00268522165514589,0.738870799655778
races,60-69,Female,White,397,0.770780856423174,193,0.694300518134715,0.045327543877769,0.1600658348816,3,0.666666666666667,0.669451898218209,0.00551211018250907
age_bins,60-69,Female,Asian,1942,0.00669412976313079,1895,0.00844327176781003,0.531666188974556,0.00976181364528724,2248,0.000444839857651246,0.00047307627113912,0.831072002026795
genders,60-69,Female,Asian,76,0.171052631578947,110,0.145454545454545,0.636168777068854,0.00655192038264208,26,0.0384615384615385,0.0899031088969955,0.170561577886701
races,60-69,Female,Asian,397,0.0327455919395466,193,0.0829015544041451,0.00819612460853932,0.3233522352867,3,0.333333333333333,0.00476841310538025,0.0705653360384008
