test_prop,test_age,test_gender,test_race,source_prop,fairface_n,fairface_prop,fairface_p_value,deepface_n,deepface_prop,deepface_p_value
genders,0-2,Female,Black,0.583333333333333,72,0.513888888888889,0.231997723628734,0,0,1
races,0-2,Female,Black,0.0398481973434535,806,0.0459057071960298,0.379293195521044,0,0,1
age_bins,0-2,Female,Indian,0.10849598163031,1100,0.0318181818181818,2.56441597624173e-16,514,0,2.62861226631172e-15
genders,0-2,Female,Indian,0.506702412868633,79,0.443037974683544,0.25770780428736,0,0,1
races,0-2,Female,Indian,0.179316888045541,806,0.043424317617866,4.28188721170554e-24,0,0,1
age_bins,0-2,Female,Other,0.165605095541401,2173,0.0612057063966866,1.82984403160674e-39,1666,0,3.45759167814675e-74
genders,0-2,Female,Other,0.565217391304348,294,0.452380952380952,9.50760285837831e-05,0,0,1
races,0-2,Female,Other,0.148007590132827,806,0.165012406947891,0.173987795877787,0,0,1
age_bins,0-2,Female,All,0.0914851141393976,11558,0.0697352483128569,4.73753368644448e-16,9220,0,3.239588106905e-204
genders,0-2,Female,All,0.496935407826497,1838,0.438520130576714,5.47584473144869e-07,0,0,1
age_bins,0-2,Male,White,0.0457905173967911,4746,0.0684787189211968,7.57440222168729e-14,5101,0,1.77863048167499e-55
genders,0-2,Male,White,0.462659380692168,685,0.474452554744526,0.535888355789136,0,0,1
races,0-2,Male,White,0.23805060918463,1032,0.314922480620155,6.69430426505577e-09,0,0,1
age_bins,0-2,Male,Asian,0.291362530413625,1594,0.29297365119197,0.887426843843875,3546,0,0
genders,0-2,Male,Asian,0.562867215041128,708,0.659604519774011,2.11192201505338e-07,0,0,1
races,0-2,Male,Asian,0.44892221180881,1032,0.452519379844961,0.816280349785947,0,0,1
age_bins,0-2,Male,Black,0.0128369704749679,2130,0.0164319248826291,0.140518152628887,2702,0,3.07378499718458e-09
genders,0-2,Male,Black,0.416666666666667,72,0.486111111111111,0.231997723628734,0,0,1
races,0-2,Male,Black,0.028116213683224,1032,0.0339147286821705,0.259800487929232,0,0,1
age_bins,0-2,Male,Indian,0.0805251641137856,1383,0.0318148951554591,2.78968376236099e-11,956,0,2.8446032168017e-20
genders,0-2,Male,Indian,0.493297587131367,79,0.556962025316456,0.25770780428736,0,0,1
races,0-2,Male,Indian,0.17244611059044,1032,0.0426356589147287,1.2406534604962e-28,0,0,1
age_bins,0-2,Male,Other,0.15625,2680,0.0600746268656716,4.2773044625576e-43,2528,0,4.05244286551206e-104
genders,0-2,Male,Other,0.434782608695652,294,0.547619047619048,9.50760285837823e-05,0,0,1
races,0-2,Male,Other,0.112464854732896,1032,0.156007751937984,9.53432487826317e-06,0,0,1
age_bins,0-2,Male,All,0.0848104284238137,12533,0.082342615495093,0.321366976063001,14833,0,3.52534324781335e-301
genders,0-2,Male,All,0.503064592173503,1838,0.561479869423286,5.47584473144869e-07,0,0,1
age_bins,0-2,All,White,0.0537129439389492,9285,0.0737749057619817,4.97196646857623e-18,9037,0,7.21090127082009e-114
races,0-2,All,White,0.258840169731259,1838,0.372687704026115,3.84824734368409e-29,0,0,1
age_bins,0-2,All,Asian,0.237311767986615,3489,0.202923473774721,1.80153686816101e-06,5794,0,0
races,0-2,All,Asian,0.401225836869401,1838,0.385201305767138,0.1610269906751,0,0,1
age_bins,0-2,All,Black,0.0157964019306713,3981,0.0180859080633007,0.246637966405167,3558,0,4.13008925652897e-14
races,0-2,All,Black,0.0339462517680339,1838,0.0391730141458107,0.215939845932146,0,0,1
age_bins,0-2,All,Indian,0.0926247827166625,2483,0.0318163511880789,7.18119693640929e-26,1470,0,8.42108209429052e-35
races,0-2,All,Indian,0.175860443187176,1838,0.0429815016322089,6.32095692671375e-51,0,0,1
age_bins,0-2,All,Other,0.16140350877193,4853,0.0605810838656501,1.49910188035944e-81,4194,0,7.28986053446653e-178
races,0-2,All,Other,0.13012729844413,1838,0.159956474428727,0.000144092519549327,0,0,1
age_bins,0-2,All,All,0.0880009957679861,24091,0.0762940517205595,1.41736147227946e-10,24053,0,0
age_bins,20-29,Female,White,0.239623448866068,4539,0.328045825071602,1.44458569019828e-44,3936,0.373221544715447,3.82267649451725e-86
genders,20-29,Female,White,0.519721577726218,2280,0.653070175438596,1.67191141731626e-37,2993,0.490811894420314,0.00154729552555113
races,20-29,Female,White,0.249776984834969,5647,0.263679829998229,0.0158016035604295,4073,0.360667812423275,2.22426184536602e-60
age_bins,20-29,Female,Asian,0.532955715756952,1895,0.614775725593668,9.39897704148972e-13,2248,0.541814946619217,0.39983408751701
genders,20-29,Female,Asian,0.711340206185567,1528,0.762434554973822,1.04519682398069e-05,2923,0.416695176188847,4.95015040392117e-271
races,20-29,Female,Asian,0.230820695807315,5647,0.206304232335753,1.22912697006811e-05,4073,0.299042474834274,2.49699650264773e-25
age_bins,20-29,Female,Black,0.465105808194507,1851,0.614802809292274,1.91620500070432e-38,856,0.445093457943925,0.240441522598401
genders,20-29,Female,Black,0.52974358974359,1866,0.609860664523044,4.092503245395e-12,1457,0.26149622512011,7.9585100969517e-94
races,20-29,Female,Black,0.230374665477252,5647,0.201522932530547,2.61864495189356e-07,4073,0.0935428431131844,7.70886017432472e-96
age_bins,20-29,Female,Indian,0.515499425947187,1100,0.559090909090909,0.0038167588332105,514,0.385214007782101,3.41298964778113e-09
genders,20-29,Female,Indian,0.574536148432502,846,0.726950354609929,1.53109962701757e-19,492,0.402439024390244,1.15501486936491e-14
races,20-29,Female,Indian,0.200267618198037,5647,0.108907384451921,2.88808153105915e-66,4073,0.0486128161060643,1.62264555148131e-129
age_bins,20-29,Female,Other,0.422505307855626,2173,0.570639668660838,1.0378632909842e-44,1666,0.484393757503001,3.15480247292712e-07
genders,20-29,Female,Other,0.582723279648609,1864,0.665236051502146,5.03375301919642e-13,1725,0.467826086956522,1.87997702710728e-22
races,20-29,Female,Other,0.0887600356824264,5647,0.219585620683549,3.8007065745897e-262,4073,0.198134053523202,2.50307007580659e-133
age_bins,20-29,Female,All,0.389202326186963,11558,0.488579338985984,9.88352209073591e-107,9220,0.44175704989154,2.09218576298221e-25
genders,20-29,Female,All,0.574429925698181,8384,0.673544847328244,1.49816925559884e-75,9590,0.424713242961418,1.53007005188907e-193
age_bins,20-29,Male,White,0.186587344510546,4746,0.166666666666667,0.000427229961863934,5101,0.298764948049402,2.80151211333312e-94
genders,20-29,Male,White,0.480278422273782,2280,0.346929824561404,1.67191141731626e-37,2993,0.509188105579686,0.00154729552555111
races,20-29,Male,White,0.311559301625527,2737,0.289002557544757,0.010832287000051,5517,0.276237085372485,1.47070469221507e-08
age_bins,20-29,Male,Asian,0.255474452554745,1594,0.227728983688833,0.0110872918039107,3546,0.480823463056966,3.4200969136098e-208
genders,20-29,Male,Asian,0.288659793814433,1528,0.237565445026178,1.04519682398069e-05,2923,0.583304823811153,4.95015040392364e-271
races,20-29,Male,Asian,0.126429861529199,2737,0.13262696382901,0.329284383484192,5517,0.309044770708718,0
age_bins,20-29,Male,Black,0.392383397518186,2130,0.341784037558685,1.73036202746557e-06,2702,0.398223538119911,0.534125048023693
genders,20-29,Male,Black,0.47025641025641,1866,0.390139335476956,4.09250324539515e-12,1457,0.73850377487989,7.9585100969517e-94
races,20-29,Male,Black,0.276038531005418,2737,0.265984654731458,0.239355726878756,5517,0.195033532717056,1.35837246004791e-41
age_bins,20-29,Male,Indian,0.291028446389497,1383,0.167028199566161,1.62324255874024e-24,956,0.307531380753138,0.261296669207882
genders,20-29,Male,Indian,0.425463851567498,846,0.273049645390071,1.53109962701762e-19,492,0.597560975609756,1.1550148693649e-14
races,20-29,Male,Indian,0.200180614087899,2737,0.0843989769820972,4.54298679722857e-52,5517,0.0532898314301251,5.20921112865119e-164
age_bins,20-29,Male,Other,0.37109375,2680,0.232835820895522,5.7972857771802e-50,2528,0.363132911392405,0.407365724754851
genders,20-29,Male,Other,0.417276720351391,1864,0.334763948497854,5.03375301919652e-13,1725,0.532173913043478,1.87997702710718e-22
races,20-29,Male,Other,0.0857916917519567,2737,0.227986846912678,9.0894858899122e-156,5517,0.166394779771615,1.08087402935542e-101
age_bins,20-29,Male,All,0.264048962721564,12533,0.218383467645416,2.13166774536602e-31,14833,0.37194094249309,1.52556637461723e-195
genders,20-29,Male,All,0.425570074301819,8384,0.326455152671756,1.49816925559913e-75,9590,0.575286757038582,1.5300700518881e-193
age_bins,20-29,All,White,0.210840426572742,9285,0.245557350565428,2.30107332649619e-16,9037,0.331193980303198,2.07542474245412e-173
races,20-29,All,White,0.276069689982065,8384,0.271946564885496,0.398395767211235,9590,0.312095933263816,2.93378463011192e-15
age_bins,20-29,All,Asian,0.40574456218628,3489,0.437947836056177,0.00010714987141242,5794,0.504487400759406,3.4481473272428e-53
races,20-29,All,Asian,0.186395080707148,8384,0.182251908396947,0.329972278927583,9590,0.304796663190824,4.19280781804629e-195
age_bins,20-29,All,Black,0.427819218955682,3981,0.468726450640543,1.82097120743555e-07,3558,0.409499718943227,0.0272015045564658
races,20-29,All,Black,0.249807840122982,8384,0.22256679389313,8.32088466508579e-09,9590,0.151929092805005,6.28891223021892e-109
age_bins,20-29,All,Indian,0.388130121678669,2483,0.340716874748288,1.24661650752309e-06,1470,0.33469387755102,2.6208553516583e-05
races,20-29,All,Indian,0.200230591852421,8384,0.100906488549618,1.22538894249645e-114,9590,0.051303441084463,4.15801924889032e-291
age_bins,20-29,All,Other,0.399415204678363,4853,0.384092314032557,0.0292984509100522,4194,0.411301859799714,0.116016146181814
races,20-29,All,Other,0.087496797335383,8384,0.222328244274809,0,9590,0.179874869655892,3.28198405950421e-225
age_bins,20-29,All,All,0.32387353746577,24091,0.348013781080071,1.14303115009476e-15,24053,0.398702864507546,4.4628835579422e-136
age_bins,30-39,Female,White,0.157252888318357,4539,0.136593963428068,0.000131670447691514,3936,0.427845528455285,0
genders,30-39,Female,White,0.420962199312715,1512,0.41005291005291,0.390226825998753,3635,0.463273727647868,2.37919850754299e-07
races,30-39,Female,White,0.394101876675603,1467,0.422631220177232,0.0253413242969814,4022,0.418697165589259,0.00141269676821905
age_bins,30-39,Female,Asian,0.0937178166838311,1895,0.0670184696569921,6.66138548868504e-05,2248,0.365213523131673,0
genders,30-39,Female,Asian,0.413636363636364,345,0.368115942028986,0.0860133740355307,1858,0.441872981700754,0.0134585996893441
races,30-39,Female,Asian,0.0975871313672922,1467,0.0865712338104976,0.155086677546139,4022,0.20412729985082,4.69954536892344e-115
age_bins,30-39,Female,Black,0.277352543899145,1851,0.176121015667207,1.14120147161524e-22,856,0.536214953271028,1.68229601030683e-64
genders,30-39,Female,Black,0.507831821929101,955,0.341361256544503,3.90204850366517e-25,1681,0.273051754907793,6.49246340787459e-83
races,30-39,Female,Black,0.33029490616622,1467,0.222222222222222,6.77248835875971e-19,4022,0.114122327200398,4.25681075236112e-187
age_bins,30-39,Female,Indian,0.126865671641791,1100,0.119090909090909,0.438477595749309,514,0.585603112840467,1.1594510366515e-214
genders,30-39,Female,Indian,0.320754716981132,551,0.237749546279492,2.98935883369472e-05,794,0.379093198992443,0.000428616303087355
races,30-39,Female,Indian,0.118498659517426,1467,0.0892978868438991,0.000539135905904416,4022,0.0748383888612631,5.30126995309537e-18
age_bins,30-39,Female,Other,0.117834394904459,2173,0.121030832949839,0.643972155038678,1666,0.45438175270108,0
genders,30-39,Female,Other,0.431906614785992,884,0.297511312217195,6.93662998354883e-16,1767,0.42840973401245,0.766655514084003
races,30-39,Female,Other,0.0595174262734584,1467,0.179277436946149,4.88780475096927e-84,4022,0.18821481849826,4.30438722443554e-261
age_bins,30-39,Female,All,0.161878309174551,11558,0.126925073542135,9.72202967487711e-25,9220,0.436225596529284,0
genders,30-39,Female,All,0.429228998849252,4247,0.345420296680009,1.30170560010059e-28,9735,0.413148433487417,0.00134834849850149
age_bins,30-39,Male,White,0.182260681449432,4746,0.187947745469869,0.310181576375594,5101,0.382474024701039,1.31843635290784e-300
genders,30-39,Male,White,0.579037800687285,1512,0.58994708994709,0.390226825998753,3635,0.536726272352132,2.3791985075429e-07
races,30-39,Male,White,0.407661290322581,2780,0.320863309352518,6.20402398549932e-21,5713,0.341501837913531,1.26520207508536e-24
